+-------+-----+-------+-----+-----+-----+--------+--------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |              URI               |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
|     1 |   0 |     1 |   0 |   0 |   0 | POST   | /initialize                    | 5.281 | 5.281 |    5.281 | 5.281 | 5.281 | 5.281 | 5.281 |  0.000 |    23.000 |    23.000 |       23.000 |    23.000 |
|    10 |   0 |    10 |   0 |   0 |   0 | POST   | /api/estate                    | 0.156 | 0.604 |    4.744 | 0.474 | 0.584 | 0.604 | 0.604 |  0.120 |     0.000 |     0.000 |        0.000 |     0.000 |
|    10 |   0 |    10 |   0 |   0 |   0 | POST   | /api/chair                     | 0.120 | 0.548 |    3.928 | 0.393 | 0.536 | 0.548 | 0.548 |  0.123 |     0.000 |     0.000 |        0.000 |     0.000 |
|  2891 |   0 |  2869 |   0 |  22 |   0 | GET    | /api/estate/search             | 0.012 | 2.038 |  523.979 | 0.181 | 0.416 | 0.584 | 1.172 |  0.231 |     0.000 | 25176.000 | 39365802.000 | 13616.673 |
|  2627 |   0 |  2601 |   0 |  26 |   0 | GET    | /api/chair/search              | 0.040 | 2.005 |  472.156 | 0.180 | 0.408 | 0.588 | 1.308 |  0.247 |     0.000 | 26057.000 | 30884652.000 | 11756.624 |
|   578 |   0 |   577 |   0 |   1 |   0 | GET    | /api/recommended_estate/[0-9]+ | 0.020 | 2.000 |   76.287 | 0.132 | 0.260 | 0.556 | 1.184 |  0.210 | 13196.000 | 13712.000 |  7716723.000 | 13350.732 |
|  9018 |   0 |  8954 |   0 |  64 |   0 | GET    | /api/chair/[0-9]+              | 0.004 | 2.003 |  949.636 | 0.105 | 0.260 | 0.428 | 0.984 |  0.197 |     0.000 |   657.000 |  4855149.000 |   538.384 |
| 10726 |   0 | 10660 |   0 |  66 |   0 | GET    | /api/estate/[0-9]+             | 0.004 | 2.003 | 1037.971 | 0.097 | 0.240 | 0.408 | 0.928 |  0.189 |     0.000 |   740.000 |  6544723.000 |   610.174 |
|  1812 |   0 |  1805 |   0 |   7 |   0 | GET    | /api/chair/low_priced          | 0.004 | 2.001 |  107.187 | 0.059 | 0.140 | 0.276 | 0.808 |  0.163 |     0.000 | 12156.000 | 21908337.000 | 12090.694 |
|  1812 |   0 |  1808 |   0 |   4 |   0 | GET    | /api/estate/low_priced         | 0.004 | 2.004 |  104.596 | 0.058 | 0.144 | 0.268 | 0.796 |  0.158 |     0.000 | 13340.000 | 24031279.000 | 13262.295 |
|  1135 |   0 |  1132 |   0 |   3 |   0 | POST   | /api/estate/nazotte            | 0.008 | 1.328 |   65.499 | 0.058 | 0.140 | 0.264 | 0.692 |  0.127 |     0.000 | 34061.000 | 19858241.000 | 17496.248 |
|   282 |   0 |   282 |   0 |   0 |   0 | POST   | /api/chair/buy/[0-9]+          | 0.004 | 0.832 |   14.264 | 0.051 | 0.136 | 0.252 | 0.568 |  0.104 |     0.000 |     0.000 |        0.000 |     0.000 |
|  1426 |   0 |  1424 |   0 |   2 |   0 | POST   | /api/estate/req_doc/[0-9]+     | 0.004 | 2.001 |   65.899 | 0.046 | 0.116 | 0.220 | 0.632 |  0.130 |     0.000 |     0.000 |        0.000 |     0.000 |
|   346 |   0 |   346 |   0 |   0 |   0 | GET    | /api/estate/search/condition   | 0.000 | 0.020 |    0.336 | 0.001 | 0.004 | 0.004 | 0.008 |  0.002 |  2563.000 |  2563.000 |   886798.000 |  2563.000 |
|   307 |   0 |   307 |   0 |   0 |   0 | GET    | /api/chair/search/condition    | 0.000 | 0.032 |    0.292 | 0.001 | 0.004 | 0.004 | 0.008 |  0.003 |  3392.000 |  3392.000 |  1041344.000 |  3392.000 |
|     1 |   0 |     0 |   0 |   1 |   0 | GET    | /ReportServer                  | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   178.000 |   178.000 |      178.000 |   178.000 |
|     1 |   0 |     1 |   0 |   0 |   0 | GET    | /                              | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 | 21745.000 | 21745.000 |    21745.000 | 21745.000 |
+-------+-----+-------+-----+-----+-----+--------+--------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
